slug,country,clicks,impressions,ctr,position
unterhalt-alimente,Österreich,824,98049,0.84,8.49
unterhalt-alimente,Deutschland,12,11235,0.11,7.94
unterhalt-alimente,Italien,3,173,1.73,8.45
unterhalt-alimente,Schweiz,1,1673,0.06,17.61
unterhalt-alimente,USA,1,1596,0.06,10.11
unterhalt-alimente,Niederlande,1,59,1.69,6.59
unterhalt-alimente,Thailand,1,44,2.27,10.39
unterhalt-alimente,Kroatien,1,42,2.38,8.07
unterhalt-alimente,Slowakei,1,40,2.5,6.6
unterhalt-alimente,Bosnien und Herzegowina,1,31,3.23,7.84
unterhalt-alimente,Indien,0,142,0.0,32.32
unterhalt-alimente,Vereinigtes Königreich,0,122,0.0,16.19
unterhalt-alimente,Spanien,0,116,0.0,9.69
unterhalt-alimente,Indonesien,0,98,0.0,24.78
unterhalt-alimente,Kolumbien,0,97,0.0,33.92
unterhalt-alimente,Philippinen,0,82,0.0,24.09
unterhalt-alimente,Kanada,0,75,0.0,9.53
unterhalt-alimente,Frankreich,0,72,0.0,20.1
unterhalt-alimente,Brasilien,0,66,0.0,21.73
unterhalt-alimente,Ägypten,0,63,0.0,18.02
unterhalt-alimente,Algerien,0,62,0.0,30.05
unterhalt-alimente,Argentinien,0,62,0.0,30.63
unterhalt-alimente,Südkorea,0,54,0.0,18.19
unterhalt-alimente,Ungarn,0,49,0.0,8.47
unterhalt-alimente,Polen,0,48,0.0,10.35
unterhalt-alimente,Slowenien,0,40,0.0,8.38
unterhalt-alimente,Hongkong,0,39,0.0,45.49
unterhalt-alimente,Türkei,0,38,0.0,9.0
unterhalt-alimente,Rumänien,0,37,0.0,29.59
unterhalt-alimente,Japan,0,33,0.0,11.88
unterhalt-alimente,Vietnam,0,33,0.0,16.27
unterhalt-alimente,Luxemburg,0,32,0.0,8.66
unterhalt-alimente,Mexiko,0,31,0.0,11.42
unterhalt-alimente,Irak,0,31,0.0,22.0
unterhalt-alimente,Belgien,0,27,0.0,5.26
unterhalt-alimente,Tschechien,0,27,0.0,6.19
unterhalt-alimente,Dominikanische Republik,0,26,0.0,23.62
unterhalt-alimente,Guatemala,0,26,0.0,27.88
unterhalt-alimente,Griechenland,0,25,0.0,15.12
unterhalt-alimente,Bangladesch,0,23,0.0,29.52
unterhalt-alimente,Ecuador,0,22,0.0,29.14
unterhalt-alimente,Dänemark,0,21,0.0,7.48
unterhalt-alimente,Liechtenstein,0,21,0.0,10.95
unterhalt-alimente,Portugal,0,20,0.0,9.65
unterhalt-alimente,Russland,0,20,0.0,21.6
unterhalt-alimente,Malaysia,0,19,0.0,14.11
unterhalt-alimente,Schweden,0,19,0.0,23.0
unterhalt-alimente,Äthiopien,0,19,0.0,25.26
unterhalt-alimente,Bulgarien,0,18,0.0,12.11
unterhalt-alimente,Georgien,0,17,0.0,24.82
unterhalt-alimente,Norwegen,0,16,0.0,8.56
unterhalt-alimente,Pakistan,0,14,0.0,20.14
unterhalt-alimente,Australien,0,13,0.0,7.85
unterhalt-alimente,Ukraine,0,13,0.0,10.69
unterhalt-alimente,Serbien,0,12,0.0,8.75
unterhalt-alimente,Chile,0,12,0.0,32.58
unterhalt-alimente,Vereinigte Arabische Emirate,0,10,0.0,7.0
