slug,device,clicks,impressions,ctr,position
unterhalt-alimente,Mobil,669,95235,0.7,8.16
unterhalt-alimente,Computer,164,18224,0.9,12.25
unterhalt-alimente,Tablet,13,1730,0.75,7.42
kinder-obsorge,Mobil,63,10932,0.58,5.7
kinder-obsorge,Computer,17,2053,0.83,16.52
kinder-obsorge,Tablet,1,140,0.71,3.52
strittig,Mobil,49,5568,0.88,7.02
strittig,Computer,17,2098,0.81,18.98
strittig,Tablet,2,81,2.47,4.07
einvernehmlich,Mobil,100,12800,0.78,7.82
einvernehmlich,Computer,25,6846,0.37,15.72
einvernehmlich,Tablet,1,184,0.54,4.24
vermoegensaufteilung,Mobil,75,7752,0.97,9.11
vermoegensaufteilung,Computer,16,2783,0.57,18.71
vermoegensaufteilung,Tablet,3,183,1.64,4.14
rechner,Mobil,1549,40857,3.79,6.07
rechner,Computer,534,15608,3.42,7.08
rechner,Tablet,18,427,4.22,5.95
