slug,query,clicks,impressions,ctr,position,expected_ctr,expected_clicks,delta_clicks,ctr_index
unterhalt-alimente,unterhalt tricks für männer österreich,222,3743,5.931071333155223,3.56,3.721754541426672,139.30527248560034,82.69472751439966,159.36223808251594
unterhalt-alimente,alimente österreich,24,8898,0.26972353337828725,8.9,0.35704323570432356,31.76970711297071,-7.7697071129707105,75.54366149696561
unterhalt-alimente,unterhaltspflicht eltern gegenüber volljährigen kindern österreich,23,544,4.227941176470589,2.69,1.959885386819484,10.661776504297993,12.338223495702007,215.72389920880636
unterhalt-alimente,wie lange muss man alimente zahlen in österreich,19,339,5.604719764011799,3.1,1.959885386819484,6.644011461318051,12.355988538681949,285.9718125204851
unterhalt-alimente,ehegattenunterhalt österreich,18,1315,1.3688212927756656,6.25,1.1879559337117893,15.621620528310029,2.3783794716899713,115.22492155906482
unterhalt-alimente,alimente ab 18 jahren österreich,18,513,3.508771929824561,2.37,1.6928055763007221,8.684092606422706,9.315907393577294,207.2755417956656
unterhalt-alimente,unterhalt ab 18 wer bekommt das geld österreich,16,349,4.584527220630372,4.15,3.721754541426672,12.988923349579085,3.0110766504209145,123.18188020193752
unterhalt-alimente,alimente,14,9848,0.1421608448415922,7.34,1.1879559337117893,116.98990035193701,-102.98990035193701,11.966844965150191
unterhalt-alimente,wie lange muss man alimente zahlen,14,572,2.4475524475524475,3.72,3.721754541426672,21.288435976960564,-7.288435976960564,65.76340326340326
unterhalt-alimente,alimente wie lange,13,559,2.3255813953488373,7.83,0.35704323570432356,1.9958716875871687,11.004128312412831,651.3444767441861
unterhalt-alimente,alimente österreich wie lange,12,329,3.64741641337386,3.76,3.721754541426672,12.244572441293752,-0.24457244129375155,98.00260529743812
unterhalt-alimente,unterhalt österreich,11,1314,0.837138508371385,7.15,1.1879559337117893,15.609740968972913,-4.609740968972913,70.46881829662915
unterhalt-alimente,wann muss man keine alimente zahlen,11,565,1.9469026548672566,5.43,4.065867692405506,22.972152462091106,-11.972152462091106,47.88406318542556
unterhalt-alimente,selbsterhaltungsfähigkeit 2026 österreich,11,104,10.576923076923077,1.46,0.869221651521138,0.9039905175819833,10.096009482418017,1216.826923076923
unterhalt-alimente,alimente berechnung tabelle,9,1294,0.6955177743431221,1.97,1.6928055763007221,21.904904157331345,-12.904904157331345,41.08668969906354
unterhalt-alimente,unterhalt ehefrau tabelle,9,572,1.5734265734265735,11.15,0.2826485213294949,1.6167495420047109,7.383250457995289,556.6724941724941
unterhalt-alimente,alimente berechnen österreich,7,393,1.7811704834605597,7.87,0.35704323570432356,1.4031799163179914,5.596820083682008,498.8668893129771
unterhalt-alimente,alimente österreich höchstgrenze,6,397,1.5113350125944585,7.18,1.1879559337117893,4.716185056835803,1.283814943164197,127.22147090694395
unterhalt-alimente,scheidung unterhalt ehefrau,6,346,1.7341040462427744,4.25,3.721754541426672,12.877270713336285,-6.877270713336285,46.59372419488027
unterhalt-alimente,tipps um weniger unterhalt zu zahlen,6,329,1.82370820668693,6.75,1.1879559337117893,3.9083750219117865,2.0916249780882135,153.51648617038524
unterhalt-alimente,unterhalt ehefrau tabelle österreich,6,139,4.316546762589928,3.34,1.959885386819484,2.724240687679083,3.275759312320917,220.24485674618202
unterhalt-alimente,unterhaltspflicht österreich,5,745,0.6711409395973155,5.93,1.1879559337117893,8.85027170615283,-3.8502717061528298,56.49544066001874
unterhalt-alimente,kindesunterhalt österreich,5,629,0.7949125596184419,9.05,0.35704323570432356,2.2458019525801953,2.7541980474198047,222.63761923688392
unterhalt-alimente,wie lange alimente zahlen bei lehre,5,213,2.3474178403755865,3.0,1.959885386819484,4.1745558739255015,0.8254441260744985,119.77322021799412
